participantId,trialNumber,targetSize,distance,direction,timeMs,distanceTraveled,errorCount
P7868,1,30,100,right,757,519.45713645027,0
P7868,2,90,100,right,469,268.7290844568567,0
P7868,3,30,300,right,566,344.97256365553704,0
P7868,4,60,300,right,569,291.01777854920783,0
P7868,5,90,300,right,577,356.9738840967597,0
P7868,6,90,200,left,654,504.8837015676187,1
P7868,7,30,100,right,732,221.21276278792863,0
P7868,8,60,200,right,596,226.95380974713652,0
P7868,9,90,100,left,453,178.64441855310102,0
P7868,10,90,300,right,521,297.6042060037219,0
P7868,11,30,200,left,783,384.8669615734746,0
P7868,12,60,100,right,790,258.1784499037868,0
P7868,13,60,200,left,611,261.1001715281799,0
P7868,14,30,100,left,958,535.8052528828415,1
P7868,15,90,100,left,528,131.14664094129049,0
P7868,16,90,100,right,596,145.8503199429817,0
P7868,17,90,300,right,705,687.8477747517118,1
P7868,18,60,200,left,803,285.78909182717024,0
P7868,19,30,100,right,583,120.41271221051332,0
P7868,20,30,100,right,646,196.38403108357738,0
P7868,21,90,200,right,507,262.4180729874736,0
P7868,22,30,100,left,534,118.62793304769124,0
P7868,23,60,100,right,606,147.04388027764085,0
P7868,24,30,300,left,649,424.7440907185737,0
P7868,25,30,200,right,838,313.8281875655715,0
P7868,26,30,200,left,688,394.45038624056633,0
P7868,27,60,100,right,498,100.00961183125769,0
P7868,28,30,300,right,828,427.37842383629663,0
P7868,29,60,200,right,695,243.0048199578287,0
P7868,30,60,100,right,432,192.8263408744211,0
P7868,31,60,200,left,532,210.54479008793774,0
P7868,32,90,200,left,476,203.00083936337353,0
P7868,33,30,100,left,774,367.0055254721685,0
P7868,34,60,200,left,519,359.59183323725745,0
P7868,35,30,200,left,585,277.79140903263954,0
P7868,36,30,100,right,516,178.36494672963994,0
P7868,37,90,300,left,559,353.61900149941664,0
P7868,38,90,300,right,521,496.5342879149391,0
P7868,39,90,300,left,576,305.866360754177,0
P7868,40,90,300,left,501,459.43692121557444,0
P7868,41,60,300,left,686,310.2032849967455,0
P7868,42,30,300,left,826,436.8234279561182,0
P7868,43,60,300,left,739,527.0417463321229,0
P7868,44,30,300,right,786,417.48438210531555,0
P7868,45,30,300,right,782,452.33939367045537,0
P7868,46,30,100,left,687,220.17194410809907,0
P7868,47,90,100,right,402,109.63646239056166,0
P7868,48,60,100,left,451,115.1570252021235,0
P7868,49,60,100,left,478,141.78769957636996,0
P7868,50,60,300,left,520,428.0795592936169,0
P7868,51,90,100,right,359,151.13205204275062,0
P7868,52,30,300,left,833,336.0495245401196,1
P7868,53,30,100,left,684,271.1857783188612,0
P7868,54,30,300,left,814,415.46348035637027,0
P7868,55,90,300,right,548,316.65965178276844,0
P7868,56,90,200,left,492,206.59458478030118,0
P7868,57,90,300,left,462,485.95546518740554,0
P7868,58,90,200,right,711,443.43563441675815,1
P7868,59,30,100,right,793,512.9072787113666,0
P7868,60,90,200,left,443,295.9642067001512,0
P7868,61,90,100,right,460,281.4147153067895,0
P7868,62,30,200,left,860,363.4393638631697,1
P7868,63,90,300,right,538,341.8865989408228,0
P7868,64,90,100,right,421,146.23683554523933,0
P7868,65,30,100,left,649,254.64609647280645,0
P7868,66,60,200,right,716,299.3373277873141,0
P7868,67,90,300,right,527,430.82211079712516,0
P7868,68,90,300,left,533,294.39441508826667,0
P7868,69,60,300,left,759,442.1300919368447,0
P7868,70,60,200,right,495,222.43874628101597,0
P7868,71,90,300,left,565,288.8528519103307,0
P7868,72,90,300,left,522,456.8776482250987,0
P7868,73,60,300,left,628,556.0658519168961,0
P7868,74,30,200,left,596,502.67070741320026,0
P7868,75,60,100,left,512,280.3708616002903,0
P7868,76,90,300,left,559,273.554213430233,0
P7868,77,60,100,left,435,212.06674291091002,0
P7868,78,90,200,left,434,312.7228009939124,0
P7868,79,90,200,left,445,437.1773712384495,0
P7868,80,90,100,left,418,352.35774028042624,0
P7868,81,60,300,right,674,405.2947106880673,1
P7868,82,60,300,left,602,370.53874333901246,0
P7868,83,90,300,right,463,293.791464302155,0
P7868,84,30,300,right,794,518.278621738935,0
P7868,85,90,200,right,499,470.6896102799351,0
P7868,86,60,200,right,480,370.1030059438313,0
P7868,87,30,200,right,583,210.60716421266073,0
P7868,88,60,200,right,550,436.5543825200906,0
P7868,89,30,300,right,737,510.05432944384125,0
P7868,90,60,100,right,444,324.81455182103065,0
P7868,91,60,100,right,892,500.3384638609219,1
P7868,92,90,100,right,385,230.2828465247051,0
P7868,93,30,300,right,892,436.53215783284975,1
P7868,94,90,200,left,409,192.0275840971309,0
P7868,95,30,100,right,568,231.85556510764846,0
P7868,96,90,200,left,389,212.21840230503182,0
P7868,97,60,300,right,902,295.07927890437117,1
P7868,98,90,200,right,414,235.98778729437845,0
P7868,99,60,100,left,553,357.7695585645748,0
P7868,100,30,100,left,767,476.51488203874686,0
P7868,101,90,100,left,392,181.67836802276378,0
P7868,102,30,100,left,627,299.452821752965,0
P7868,103,30,300,right,882,300.0687573692118,0
P7868,104,60,200,right,502,330.2846878153187,0
P7868,105,60,200,left,488,185.79808402261304,0
P7868,106,30,300,left,817,557.320876418473,0
P7868,107,90,100,left,769,433.0134253860428,1
P7868,108,90,100,right,523,181.20626577348557,0
P7868,109,90,200,right,527,376.34584058304944,0
P7868,110,90,200,right,474,367.9970713762348,0
P7868,111,60,300,left,567,326.2845466904469,0
P7868,112,60,300,left,689,476.15708677988107,0
P7868,113,30,300,right,705,299.6226767106471,0
P7868,114,90,200,right,517,447.14127369846767,0
P7868,115,30,200,left,762,480.8960282724579,1
P7868,116,30,200,right,820,552.5795705360039,0
P7868,117,60,200,right,536,426.0495103469219,0
P7868,118,30,100,right,924,330.85392694121515,1
P7868,119,60,300,right,535,392.83591831735595,0
P7868,120,90,100,right,403,407.1293232783746,0
P7868,121,90,200,left,365,214.30243167419582,0
P7868,122,90,100,left,791,540.2480892170017,1
P7868,123,30,100,right,667,198.27265904406713,1
P7868,124,90,300,left,516,301.5717041240838,0
P7868,125,90,200,right,353,197.9638539431223,0
P7868,126,30,200,right,454,207.36475388296924,0
P7868,127,60,300,left,455,328.97083456479896,0
P7868,128,90,100,left,630,624.3769440014512,1
P7868,129,30,300,left,681,311.8290641851963,0
P7868,130,30,300,left,677,509.8594128523804,0
P7868,131,30,200,right,903,363.3677033944618,0
P7868,132,60,200,left,547,377.07591767214825,0
P7868,133,60,200,left,486,419.22461522714354,0
P7868,134,60,200,left,451,387.5183809146267,0
P7868,135,90,200,left,391,206.4318695625752,0
P7868,136,60,100,left,871,557.414792896463,1
P7868,137,30,100,left,910,375.45187866373305,1
P7868,138,60,300,right,560,307.5586726230566,0
P7868,139,30,200,left,416,218.11299490764657,0
P7868,140,60,300,right,879,293.21298514330397,1
P7868,141,30,200,right,799,391.0377371389186,0
P7868,142,90,100,right,399,342.3946562956746,0
P7868,143,30,200,left,681,392.86821914563666,0
P7868,144,60,300,right,1081,508.60584896856665,2
P7868,145,30,100,left,1196,440.2466899738708,1
P7868,146,60,100,left,583,186.83334709459731,1
P7868,147,30,300,left,703,358.6236032238536,0
P7868,148,60,100,right,574,201.75447002864126,0
P7868,149,60,200,right,789,476.89120321103854,1
P7868,150,90,300,right,497,557.8044063155766,0
P7868,151,30,100,right,1082,345.44691378266924,2
P7868,152,60,200,left,420,214.41141703826347,0
P7868,153,30,200,left,833,313.6825087409136,1
P7868,154,60,100,right,431,331.1073421295451,0
P7868,155,90,100,left,371,118.80043834934543,0
P7868,156,30,200,right,669,212.97477316641087,1
P7868,157,90,300,left,527,378.6666202084348,0
P7868,158,60,300,left,583,441.9468441079275,0
P7868,159,30,300,left,678,570.8474478521742,0
P7868,160,30,300,left,659,535.2377170870387,0
P7868,161,60,100,left,794,422.90887299151365,1
P7868,162,60,200,right,353,255.93470926995423,0
P7868,163,60,200,left,376,231.7839970555715,0
P7868,164,60,300,right,446,283.0103761151805,0
P7868,165,90,200,right,401,421.0113350571023,0
P7868,166,30,300,right,500,582.5731804381801,0
P7868,167,30,200,right,471,532.3423826104902,0
P7868,168,60,100,left,347,155.78781414509098,0
P7868,169,90,200,right,1034,769.4121522098633,2
P7868,170,60,100,left,319,123.72768890500231,0
P7868,171,90,100,left,691,446.55166951523165,1
P7868,172,60,100,right,306,120.98754605221558,0
P7868,173,90,300,right,451,332.5248293839136,0
P7868,174,30,200,right,1114,240.87190851671593,2
P7868,175,60,300,right,472,474.3025271931098,0
P7868,176,30,200,right,2125,916.0446833232776,5
P7868,177,60,300,right,525,568.978174196684,0
P7868,178,60,100,right,407,294.012703826385,0
P7868,179,30,200,left,676,357.60780606693936,0
P7868,180,90,100,left,426,263.90343983035086,0